Vardas              Pavarde             Gal.(vid)           
Vardas1             Pavarde1            2.12              
Vardas2             Pavarde2            4.48              
Vardas3             Pavarde3            2.68              
Vardas4             Pavarde4            4.52              
Vardas5             Pavarde5            5.16              
Vardas6             Pavarde6            5.12              
Vardas7             Pavarde7            6.88              
Vardas8             Pavarde8            2.84              
Vardas9             Pavarde9            5.48              
Vardas10            Pavarde10           4.2               
Vardas11            Pavarde11           4.88              
Vardas12            Pavarde12           8.24              
Vardas13            Pavarde13           7.76              
Vardas14            Pavarde14           2.32              
Vardas15            Pavarde15           4.8               
Vardas16            Pavarde16           6.36              
Vardas17            Pavarde17           3.48              
Vardas18            Pavarde18           7.4               
Vardas19            Pavarde19           4.52              
Vardas20            Pavarde20           5.8               
Vardas21            Pavarde21           5.6               
Vardas22            Pavarde22           5.52              
Vardas23            Pavarde23           3                 
Vardas24            Pavarde24           3.68              
Vardas25            Pavarde25           6.76              
Vardas26            Pavarde26           2.08              
Vardas27            Pavarde27           2.4               
Vardas28            Pavarde28           2.16              
Vardas29            Pavarde29           5.88              
Vardas30            Pavarde30           7.72              
Vardas31            Pavarde31           4.84              
Vardas32            Pavarde32           4.96              
Vardas33            Pavarde33           3.68              
Vardas34            Pavarde34           8.24              
Vardas35            Pavarde35           1.28              
Vardas36            Pavarde36           2.44              
Vardas37            Pavarde37           8.08              
Vardas38            Pavarde38           2.44              
Vardas39            Pavarde39           1.32              
Vardas40            Pavarde40           5.16              
Vardas41            Pavarde41           2.8               
Vardas42            Pavarde42           5.68              
Vardas43            Pavarde43           2                 
Vardas44            Pavarde44           5.56              
Vardas45            Pavarde45           3.88              
Vardas46            Pavarde46           7                 
Vardas47            Pavarde47           4.36              
Vardas48            Pavarde48           6.84              
Vardas49            Pavarde49           8.24              
Vardas50            Pavarde50           5.44              
Vardas51            Pavarde51           6.24              
Vardas52            Pavarde52           6.6               
Vardas53            Pavarde53           7.08              
Vardas54            Pavarde54           3.6               
Vardas55            Pavarde55           2.04              
Vardas56            Pavarde56           6.96              
Vardas57            Pavarde57           7.28              
Vardas58            Pavarde58           4.28              
Vardas59            Pavarde59           4                 
Vardas60            Pavarde60           4.08              
Vardas61            Pavarde61           8.08              
Vardas62            Pavarde62           7.88              
Vardas63            Pavarde63           5.52              
Vardas64            Pavarde64           5.36              
Vardas65            Pavarde65           5.2               
Vardas66            Pavarde66           5.72              
Vardas67            Pavarde67           7.36              
Vardas68            Pavarde68           3.36              
Vardas69            Pavarde69           2.2               
Vardas70            Pavarde70           2.16              
Vardas71            Pavarde71           3.64              
Vardas72            Pavarde72           6.48              
Vardas73            Pavarde73           3.28              
Vardas74            Pavarde74           4.64              
Vardas75            Pavarde75           6.48              
